title,subtitle,short_description,style_description,details,price,num_colors
Big Kids Sk8-Hi Shoe,The original skate hi-top.,"The original skate hi-top, the Sk8-Hi is classic on any stage.","The Sk8-Hi was a game changer as the first high-top skate shoe to break onto the scene. With a padded collar for ankle support and reinforced toe caps, it remains a style like no other. The Sk8-Hi was our second model to showcase the Vans Sidestripe, and its bold design has remained iconic ever since.",Youth high top Recommended for ages  8 - 13  years Sturdy leather uppers Lace-up closure Rubber sidewall with classic foxing stripe Signature waffle outsole pattern for reliable grip since '66 Vulcanized build for the original look and feel Iconic Sidestripe™ insignia,$55.00,2 colors
Little Kids Sk8-Hi Water Resistant Shoe,Keep dry. Keep up.,"Their favorite high-tops, now ready for anything with a water-resistant upper.","The Sk8-Hi is an all-time classic, but the Kids Sk8-Hi takes it a step further with adventure in mind. Featuring a water-resistant suede upper, Primaloft insulation and an outsole designed for superior traction, you get a shoe that can truly keep up in cold and wet conditions.","Water-resistant upper for reliable, comfortable, breathable moisture management protection. Primaloft insulation package traps warmth without retaining internal moisture. Lugged outsole incorporates multi-directional treads, multi-level surfacing, and a siped tire-like design for increased traction in wet conditions. Single-density UltraCush molded EVA footbed provides enhanced comfort for all-day wear.",$55.00,4 colors
Toddler Sk8-Mid V Checkerboard Shoe,Outside Early.,An all-time Vans classic designed to inspire confidence in little ones with a sense of adventure.,"The Sk8-Hi is an all-time Vans classic, and the Toddler Sk8-Hi Zip MTE-1 is built for adventure with a water-resistant suede upper, a Primaloft insulation package, and an outsole designed for increased traction. Add in a back zipper for easy on-and-off access, and you've got a do-it-all shoe that encourages your little ones sense of exploration.","Toddlers' Sk8-Mid V style shoe Recommended for ages 9 months to 4 years Zonal MTE-1 Primaloft insulation package uses a high-quality microfiber thermal insulation system to mimic the warmth-providing properties of down for warmth without internal moisture MTE-1s lugged outsole provides a throw-stuff-at-me ready design using multi-directional treads, multi-level surfacing, and a sipped tire-like design for increased traction in wet conditions Shock-absorbing EVA midsole provides cushioning without added weight Leather and textile upper for durability Water-resistant upper provides a splash and puddle guard around the shoe and over the toe for reliable, comfortable, and breathable moisture management protection Reinforced toe bumper for heavy wear and tear Iconic Sidestripe™ insignia Vulcanized build for the original look and feel Double hook-and-loop closures for easy on and off",$48.00,3 colors
Infant Slip-On V Checkerboard Crib Shoe,Their first Slip-On.,"Our Classic Slip-On, constructed for the little ones with easy on-and-off access.","Redesigned for a perfect fit in the style of the original Classic Slip-On, the Infant Slip-On V Crib Checkerboard has been constructed especially for our littlest ones with side hook-and-loop closures, heel pulls, and elastic accents for easy on-and-off access. In keeping with the Off the Wall fun, a print on the outsole mimics the iconic Vans waffle sole, and the addition of a Vans heel scab completes the classic checkerboard look.",Iconic Slip-On shoe made for infants Side hook-and-loop closures Heel pull tabs Elastic accents Canvas and suede uppers Signature checkerboard print Outsole print that mimics the classic Vans waffle sole,$33.00,4 colors
Toddler Old Skool Shoe,Est. '77 | Feel Something New.,"The birth of our iconic SideStripe™, there’s always something new with the Old Skool.","The Old Skool was our first footwear design to showcase the famous Vans Sidestripe, although back then, it was just a random doodle drawn by founder Paul Van Doren. Since its debut in 1977, this low-top silhouette has established itself as an icon in the skate, music, and fashion scenes. From 90s street skaters and punks to current hip hop and fashion legends, the Old Skool has consistently been the go-to shoe for creatives who do things their own way. Now, it can be the go-to for your little one, too.","Iconic low-top, Sidestripe shoe made for toddlers Durable suede and canvas uppers Lace-up closure Reinforced toe caps Supportive padded collars Signature rubber waffle outsoles Classic Old Skool",$35.00,1 color
Little Kids' Sk8-Mid V Checkerboard Shoe,The original skate hi-top.,"The original skate mid-top, the Sk8-Hi is classic on any stage.","Inspired by the legendary Vans mid-top, the Kids' Sk8-Mid V brings the best of both worlds together with a familiar Sk8-Hi aesthetic, classic mid-top silhouette, and hook-and-loop closures that provide a secure fit without the fuss. Just strap em' on, and go make the day your own.","Legendary Sk8-Hi aesthetic in a mid-top shoe Leather upper for a smooth, durable finish Supportive padded collars Iconic Sidestripe™ insignia Signature waffle outsole pattern for reliable grip since '66 Vulcanized build for the original look and feel Double hook-and-loop closures for easy on and off",$53.00,10 colors
Big Kids Classic Slip-On Shoe,No laces. Always iconic.,"Skateboarding’s original Slip-On, as iconic as ever.","Since its debut in 1979, the Slip-On has embodied Southern California’s casual, creative spirit. What started as a laid-back skate staple has become a pop culture icon—a global symbol of rebellion and self-expression.",Iconic Slip-On shoe Low profile canvas uppers with classic checkerboard print Color Theory seasonal colorway Supportive padded collars Elastic side accents Signature rubber waffle outsoles,$45.00,2 colors
Surf Bootie 5 MM,Built for surfers.,"Feel the board, not the cold with 5mm Yulex® rubber.","You shouldn't have to sacrifice boardfeel in cold water, and the Surf Bootie 5 MM is proof. 5mm Yulex® rubber keeps you warm in lineup, and a durable outsole enhanced with a Micro-Sipe pattern provides the grip and board feel you need.","Yulex® rubber provides performance with natural materials in cold water. Yulex® products are produced from renewable rubber tree forests, reducing the impact when compared to neoprene. Engineered heel pull tab assists with entry and exit. Durable rubber outsole with micro-sipe pattern.",$90.00,2 colors
Little Kids Authentic Shoe,The original since ‘66.,"The longest running style in the Vans lineup, the Authentic is where it all started.","The Authentic is the original Vans silhouette. First introduced in 1966 and driven forward by creative culture ever since, this time-honored shoe keeps the old school vibe alive with sturdy canvas uppers in seasonal colorways. With its classic low-top design and iconic rubber waffle outsole, the Kids Authentic is a blank canvas for creativity that allows you to do your thing in your own unique way.",Heritage low-top shoe made for kids Lace-up closure Sturdy canvas uppers Metal eyelets Signature rubber waffle outsoles,$35.00,6 colors
OTW by Vans X HommeGirls Authentic 44,An Icon Reimagined,Co-designed Authentic with premium build and doubled lace option.,"The Authentic reimagined through the HommeGirls lens. Military green checkerboard, layered textures, and doubled lace option bring new depth to a Vans icon—finished with a cushioned insole and a refined fit.","Heritage low-top shoe, Style 44 8 oz canvas upper with 6 oz canvas bindings and heel strip HommeGirls branded lace, with optional second lace Metal eyelets: four on sizes 3.5-6, five on sizes 6.5 and up Higher sidewall with gloss finish Foxing tape inspired by original 90's Osnaburg reinforced outsoles Upgraded footbed and refined construction combine for a more seamless fit Co-branded Sola Foam ADC (All-Day Comfort) insole for soft and durable cushioning, it is made using at least 30% biobased PU foam partially derived from plants and it is USDA Certified Biobased Signature waffle outsole pattern for reliable grip since '66 All-over checkerboard pattern with ‘Hg’ monograms Co-branded logo heel scab Custom packaging",$130.00,2 colors
Little Kids Knu Skool Checkerboard Shoe,In With The Knu.,"Puffed-up with ’90s skate influence, scaled down for growing feet.","Born in ’98, the Knu Skool took inspiration from the iconic Old Skool to create something entirely its own. The Little Kids version scales down the original design for growing feet, keeping the oversized laces, padded comfort, and bold look that define the Knu Skool.","Little kids '90s low-top shoe Recommended for ages 4 - 8 years Suede and canvas upper layers two textures Oversized tongue and padded collar for extra comfort Wide laces for bold style and adjustable, secure fit Heel pulls for ease of entry Puffy 3D Sidestripe™ blends throwback style with a modern edge Rubber sidewall with classic foxing stripe Signature waffle outsole pattern for reliable grip since '66 Vulcanized build for the original look and feel",$48.00,13 colors
Toddler Authentic Shoe,The original since ‘66.,"The longest running style in the Vans lineup, the Authentic is where it all started.","The Authentic is the original Vans silhouette. First introduced in 1966 and driven forward by creative culture ever since, this time-honored shoe keeps the old school vibe alive with sturdy canvas uppers in seasonal colorways. With its classic low-top design and iconic rubber waffle outsole, the Toddler Authentic is a blank canvas that allows your little one to do their thing in their own unique way.","Toddler low-top shoe Canvas upper for a durable and classic look Unpadded, low-profile cuff for a minimalist fit Metal eyelets Lace-up closure for a secure and adjustable fit Durable rubber sidewall with classic foxing stripe Reinforced toe bumper for heavy wear and tear Signature waffle outsole pattern for reliable grip since '66 Vulcanized sole for superior board feel and flexibility",$30.00,5 colors
Surf Bootie 3 MM,Built for surfers.,Engineered with 3mm Yulex® rubber for unmatched board feel.,"Created for surfers seeking uncompromised boardfeel in cooler water, Surf Bootie 3 MM extends and enhances your time in the lineup. Featuring 3mm Yulex® rubber for warmth and a durable outsole enhanced with a Micro-Sipe pattern for reliable grip, session after session.","Yulex® rubber provides performance with natural materials in cold water. Yulex® products are produced from renewable rubber tree forests, reducing the impact when compared to neoprene. Engineered heel pull tab assists with entry and exit. Durable rubber outsole with micro-sipe pattern.",$85.00,2 colors
Toddler SK8-Hi Side Zip Shoe,The original skate hi-top.,"The original skate hi-top, the Sk8-Hi is classic on any stage.","The Toddler Sk8-Hi Side Zip reinvigorates our legendary Sidestripe high top with a vintage sensibility and zippers along the eyelets, offering increased access and versatility on this timeless favorite.",Toddler high top shoe Recommended for ages 9 months to 4 years Sturdy suede and canvas uppers Padded collar for enhanced support and comfort Double hook-and-loop closures for easy on and off Tongue pull assists with slipping the shoes on quickly Rubber sidewall with classic foxing stripe Signature waffle outsole pattern for reliable grip since '66 Vulcanized build for the original look and feel Iconic Sidestripe™ insignia,$45.00,8 colors
Infant Old Skool Crib Shoe,Baby steps.,"Classic Old Skool style, sized down for your littlest ones with easy on-and-off access.","Redesigned for a perfect fit in the style of the original Sk8-Hi, the Infant Sk8-Hi Crib has been constructed especially for our littlest ones with single hook-and-loop closures and heel pulls for easy on-and-off access. In keeping with the classics, a print on the outsole mimics the iconic Vans waffle sole, and the addition of a Vans heel scab completes the classic look.","Legendary high top, Sidestripe shoe made for infants Single hook-and-loop closure Heel pull tab Canvas and suede textile uppers Outsole print that mimics the classic Vans waffle sole",$30.00,4 colors
Infant Slip-On V Crib Checkerboard Shoe,Their first Slip-On.,"Our Classic Slip-On, constructed for the little ones with easy on-and-off access.","Redesigned for a perfect fit in the style of the original Classic Slip-On, the Infant Slip-On V Crib Checkerboard has been constructed especially for our littlest ones with side hook-and-loop closures, heel pulls, and elastic accents for easy on-and-off access. A print on the outsole mimics the iconic Vans waffle sole, and the addition of a Vans heel scab completes the classic look.",Iconic Slip-On shoe made for infants Side hook-and-loop closures Heel pull tabs Elastic accents Canvas and suede uppers Signature checkerboard print Outsole print that mimics the classic Vans waffle sole,$33.00,4 colors
OTW Old Skool 36 FM,Built on Frequency.,An icon reimagined and inspired by signatures of sound.,"An icon tuned to a new frequency. The OTW Old Skool 36 FM reimagines heritage through the lens of sound—layering texture, movement, and vibration into every step. With a sculpted silhouette and tonal design that resonates with subtle archival cues, this drop ushers in the first chapter of Future Make—a new OTW by Vans platform rooted in exploration and innovation.","Future Make series, release 1 Tonal off-white design for a clean, streamlined aesthetic Lofted engineered-knit cotton upper and tongue for added breathable comfort Heavy-duty round laces 3D-injected Sidestripe gives a futuristic aesthetic, plus structural support Molded rubber toe cap and heel for enhanced durability Reinterpreted waffle pattern outsole inspired by FM radio frequencies adds increased grip Sola Foam ADC (All-Day Comfort) insole for soft and durable cushioning, it is made using at least 30% biobased PU foam partially derived from plants and it is USDA Certified Biobased",$125.00,1 color
Standard Zip Waterproof Boot,Your winter go-to.,"Zip up and conquer the cold with unparalleled warmth, waterproofing and style.","The Standard Zip Waterproof Boot brings convenience to the Standard boot lineup family with a side zipper for effortless entry and exit. As with all Standard models, the waterproof vulcanized lower keeps you dry, the removable felt liner offers next-level warmth, and the All-Trac outsole provides reliable traction anywhere, anytime.",Leather and rubber upper. Waterproof vulcanized and seam-sealed construction to keep your feet dry in wet-weather conditions. Waterproof medial zip closure for effortless entry and exit. Snow MTE™ felt liner thermal package for warmth in cold temperatures. Standard Snow MTE™ outsole with All-Trac cold weather rubber compound for traction on various terrain and conditions.,$220.00,1 color
OTW by Vans X NEIGHBORHOOD Classic Slip-On 98,Craft With Pride Tokyo Est. 1994,A monochrome slip-on reworked with NH precision.,"The OTW by Vans x NEIGHBORHOOD® Classic Slip-On 98 redefines an icon through minimalist precision. Honoring NEIGHBORHOOD’s “Craft with Pride” ethos, this tonal white execution pairs soft suede with embossed details that nod to Tokyo roots. Upgraded inside and out, it’s not just a Slip-On—it’s a study in precision, executed through a classic silhouette.","Iconic slip-on shoe originally known as Style 98 Suede upper gives a soft, textured finish Monochromatic white Padded collar for support and comfort Elastic side panels for easy slip-on and off Neighborhood branded embossed detailing on the toe Higher sidewall with ""Craft with pride Tokyo Est. 1994"" embossed design ""NBHD"" embossed design on heel Upgraded footbed and refined construction provides improved fit and feel Co-branded Sola Foam ADC (All-Day Comfort) insole for soft and durable cushioning, it is made using at least 30% biobased PU foam partially derived from plants and it is USDA Certified Biobased Signature waffle outsole pattern in grey OTW grey logo heel scab Custom packaging",$120.00,2 colors
Little Kids Mary Jane Shoe,,,"Tapping into retro nostalgia and a playful interpretation of femininity, the Vans Mary Jane takes this timeless silhouette and cranks it up a notch. Pairing a simple buckle and strap with a rubber toe cap, glittery uppers, and our signature rubber waffle outsole, the Kids Mary Jane delivers the perfect blend of casual and classy, ideal for . . . well, just about anything.",Mary Jane-style silhouette made for kids Glitter textile and synthetic uppers Buckle closures Rubber toe caps Signature rubber waffle outsoles,$45.00,1 color
UltraRange Neo VR3 Shoe,Ultra-light. Ultra-comfortable.,A lightweight design with a breathable upper and ultra-comfy VR3CUSH™ outsole.,"Here, there, anywhere. Combining comfort and versatility, the UltraRange Neo VR3 lets you take on the unexpected moments of your day while making a choice along your journey. Our team has set ambitious sustainability goals. Big or small, all of our efforts add up to positive change. To earn the Checkerboard globe logo, at least 30% of the product must be made up of one or a combination of recycled, renewable, and/or regenerative materials.","Lightweight low-top with cushioning and moderate traction Suede and mesh upper blends durability with comfort Padded collar for enhanced support and comfort Lace-up closure for a secure and adjustable fit Heel pull assists with slipping the shoes on quickly Bio-Based EVA midsole for maximum cushioning For maximum cushioning, the midsole, made using at least 25% biobased EVA foam partially derived from plants, is USDA Certified Biobased Molded heel cup and arch shape for underfoot support Lightly trended outsole for moderate traction The Checkerboard Globe logo signifies that 30% of the product is made of one or a combination of Regenerative, Renewable, and/or Recycled materials",$125.00,8 colors
Toddler SK8-Hi Side Zip Checkerboard Shoe,The original skate hi-top.,"The original skate hi-top, the Sk8-Hi is classic on any stage.","The Toddler Sk8-Hi Side Zip reinvigorates our legendary Sidestripe high top with a vintage sensibility and zippers along the eyelets, offering increased access and versatility on this timeless favorite.",Toddler high top shoe Recommended for ages 9 months to 4 years Sturdy suede and canvas uppers Padded collar for enhanced support and comfort Double hook-and-loop closures for easy on and off Tongue pull assists with slipping the shoes on quickly Rubber sidewall with classic foxing stripe Signature waffle outsole pattern for reliable grip since '66 Vulcanized build for the original look and feel Iconic Sidestripe™ insignia,$43.00,8 colors
Toddler Sk8-Hi Zip Water Resistant Shoe,Keep dry. Keep up.,"Their favorite high-tops, now ready for anything with a water-resistant upper.","The Sk8-Hi is an all-time classic, but the Toddler Sk8-Hi takes it a step further with playtime in mind. Featuring a water-resistant suede upper, a Primaloft insulation package and an outsole designed for superior traction, you get a shoe that can truly keep up—no matter where they run off to.","Water-resistant upper for reliable, comfortable, breathable moisture management protection. Primaloft insulation package traps warmth without retaining internal moisture. Lugged outsole incorporates multi-directional treads, multi-level surfacing, and a siped tire-like design for increased traction in wet conditions. Single-density UltraCush molded EVA footbed provides enhanced comfort for all-day wear.",$50.00,1 color
Little Kids UltraRange V Shoe,Always Ready.,An all-terrain style for the little ones.,"The versatile UltraRange is now available for kids, bringing comfort and performance to the forefront. Equipped with all the same benefits as the adult version, the Kids UltraRange 66 V makes sure your little ones can get there too. Finished with our iconic Sidestripe and topped with a hook-and-loop closure that makes them easy to slip on and off.",UltraRange shoe made for kids Durable suede and canvas uppers Laces with hook-and-loop closures Lightweight UltraCush midsoles Rubber mini-lug outsoles for traction Heel pull tabs for easy on/off Iconic Sidestripe™ insignia,$60.00,4 colors
Mid-Slip Insulated Shoe,Insulated icon.,Slip-On convenience meets all-weather protection.,"With a water-repellant upper and insulation package, the Mid-Slip Insulated shoe is a contemporary cold-weather classic. Experience the perfect blend of slip-on convenience and all-weather protection to last all winter long.","Leather, suede, and textile upper DWR (durable water repellent) coating to shed light moisture 100-gram insulation package for reliable warmth in cold temperatures Ultracush™ drop-in footbed for all-day comfort and support Part of our MTE™—Made for the Elements—collection, built for water protection, thermal regulation, and traction when you need it most 60% of the outsole compound is regeneratively grown natural rubber sourced from farms utilizing agricultural practices that are intended to promote biodiversity, enhance water cycles, improve soil health and/or sequester carbon",$105.00,2 colors
Surf Boot 2 Hi V 5MM,,,"This is the boot you've been waiting for. Built to exceed the needs of our team, every inch and every stitch has been crafted for comfort and performance to bring your style to life in all conditions. Placing a premium on boardfeel and grip, the Surf Boot 2 Hi V 5mm takes everything we know about skate shoes and packages it up in a surf bootie. Pure performance never looked so good.",High-top surf boot 5 mm neoprene Round toe construction for universal fit Liquid rubber dipped around the foot shape for warmth and support Hook-and-loop strap for maximum adjustability,$90.00,1 color
Skate Lizzie Shoe,Lizzie's Way.,"Designed with inclusivity in mind, built alongside Vans team rider Lizzie Armanto.","The Skate Lizzie Shoe is Lizzie Armanto's original, signature skate shoe designed with Lizzie as a unique solution to the universal problems of skate shoes, providing a better fitting, durable, and sustainable solution for all skateboarders. Created with organic materials and inclusivity in mind, Lizzie and Vans are proud to deliver something completely different for a new generation of skateboarders. Our team has set ambitious sustainability goals. Big or small, all of our efforts add up to positive change. These Skate Lizzies were featured in Tony Hawk’s Pro Skater 3 + 4, cementing their impact in skateboarding forever.","Signature high top skate shoe 100% organic cotton and suede upper As seen in Tony Hawk’s™ Pro Skater™ 3 + 4 Made using recycled, renewable, and/or regenerative materials Unpadded, low-profile cuff for a minimalist fit Lace-up closure for a secure and adjustable fit Internal tongue straps prevents it from sliding during movement Low-profile footbed balances boardfeel and impact protection DuraCap™ is a thin rubber underlay designed specifically for skateboarding, placed in key areas to protect against griptape wear SickStick™ rubber—our stickiest yet—keeps you glued to your board Universal fit designed by Lizzie to meet the needs of a wider range of skateboarders Outsole utilizes flex grooves, waffle lugs and micro-waffle pattern for grip and flexibility Iconic Sidestripe™ insignia",$95.00,1 color
Authentic Almond Shoe,New Shape. Timeless style.,Sleek low-top design with an elevated almond toe shape.,"The Vans Authentic evolves with a new shape and premium cushioning. This iconic shoe blends heritage style with modern updates, featuring a durable canvas upper and signature waffle outsole. The almond toe shape adds a contemporary edge, while insole cushioning provides all-day comfort. With its versatile look and superior feel, this reimagined classic is ready for anything.","Heritage low top with profile build Canvas upper for a durable and classic look Lace-up closure for an adjustable fit Metal eyelets. Four on sizes 3.5 - 6 and five on sizes 6.5+ Sola Foam ADC (All-Day Comfort) insole for soft and durable cushioning, it is made using at least 30% biobased PU foam partially derived from plants and it is USDA Certified Biobased Signature waffle outsole pattern for reliable grip since '66 Vulcanized build for the original look and feel",$75.00,2 colors
Women's Encore Pro Snowboard Boot,Versatile and capable.,"An advanced, customizable boot ready for everywhere you want to ride.","Designed as an advanced and versatile boot for all environments, the Encore Pro packs comfort, control, and timeless style in equal measure. With dual-zone BOA® Fit System for on-the-fly micro-adjustability and a V2 PopCush™ Footbed for stability, this boot is designed to not just lap the park and resort, but attack it. Add in the V2 UltraCush™ Smartwool® liner for thermoregulation, and the Encore Pro just might become your new favorite part of snowboarding.","Designed for all-mountain and park/street terrain, this boot has been optimized for versatility, from parks and rails in urban environments to cruising groomers with ease Flex rating: 4-5 Skill level: beginner to intermediate Textile and synthetic upper for added visual interest V2 UltraCush™ with Smartwool Liner uses odor-resistant, thermoregulating Smartwool Merino wool and an UltraCush™ cushioning layer for a liner that is warm but breathable, with a Comfort Flex neoprene toe box and X-Cage for superior heel hold V2 PopCush™ Footbed utilizes dual-density PopCush™ construction, a 3D-molded anatomical shape, airflow perforations, and a TPU arch support heel clip for stability while allowing for torsional flex Footbed's nylex moisture-wicking top-sheet keeps you dry and comfortable V2 Harness allows for customizable heel hold, working in tandem with the V2 liner for enhanced support and a personalized fit Instep Flex Zone maintains natural ankle flexion in your boot, even strapped into your bindings PleasureCuff's supple elasticity delivers a cushioned, comfortable fit, keeping your calves supported",$310.00,3 colors
Standard Waterproof Boot,Ready for winter.,Built to handle the elements with waterproof construction and 100-gram weight insulation.,"The Standard Waterproof Boot is the modern standard in winter boots' waterproofing, warmth, and traction wrapped in Vans style. Complete with a waterproof vulcanized look, heavy-duty felt liner, and Standard Snow MTE outsole featuring All-Trac all-terrain rubber, this Sidestripe snow boot is a contemporary cold weather classic in the Vans family, and the obvious choice for all your winter needs. It is made with leather and rubber uppers.","Waterproof boots Waterproof vulcanized construction seam-sealed construction, keeps snow and wet out 100-gram weight insulation package to keeps you warm All-Trac, a cold weather-specific all-terrain rubber tread for traction in variable terrain",$180.00,2 colors
Premium Authentic Point Shoe,"Iconic shape, modern point of view.",A fashion-forward take on our classic Authentic with a distinctive pointed toe design.,"The Premium Authentic Point reimagines Vans' original icon with a sophisticated pointed toe design. Drawing on our heritage while stepping into new style territory. The 8 oz canvas construction stays true to the Authentic's legacy while the Sola Foam ADC insole delivers cushioned support. Finished with our signature waffle outsole for reliable grip, this is where heritage meets modern design.","Low-profile sneaker with distinct pointed toe shape Suede upper for a soft, textured finish Cotton lace and metal eyelets, includes second set of laces Sola Foam ADC (All-Day Comfort) insole for soft and durable cushioning, it is made using at least 30% biobased PU foam partially derived from plants and it is USDA Certified Biobased Flat crepe outsole for soft, flexible comfort and natural grip Vulcanized build for the original look and feel",$90.00,2 colors
Women's Luna Pro Snowboard Boot,Your go-anywhere ride.,"Our most progressive all-terrain women's snowboard boot, the Luna Pro is hyper-focused on performance and progression.","A team favorite, the Luna Pro brings next-level performance and all-terrain versatility. Engineered with all-mountain versatility in mind, this medium-flexing snowboard boot features a Hybrid BOA® Fit System for on-the-fly adjustability and an Instep Flex Zone for smooth and natural ankle flexion. Add a heat-moldable, dual-density liner, and you get a boot made just for you.","Optimized for all-mountain and park/street Flex rating: 4-5 Skill level: beginner to intermediate Textile and synthetic upper for added visual interest V1 UltraCush™ Liner features an UltraCush™ interior layer, a dual-density heat-moldable core for customized fit, a comfort flex neoprene toe box, and a closed-seam brushed fleece cuff Heat Retention 360° uses a layer of 200g insulation over the toes so they stay warm during the coldest temps. With a liner material of neoprene and EVA, moisture is wicked away from the foot Our V1 Harness is our lightest and simplest harness, designed to ensure effective support and heel hold when paired with our V1 liner Instep Flex Zone maintains natural ankle flexion in your boot, even strapped into your bindings PleasureCuff's supple elasticity delivers a cushioned, comfortable fit, keeping your calves supported V1 PopCush™ Footbeds use 3D anatomical shaping to offer the highest level of impact protection V1 Waffle Lug Outsole with All-Trac cold weather rubber compound delivers precise boardfeel and traction in all conditions",$315.00,2 colors
Authentic Hi 2.0 Shoe,"The original, elevated.",A modern elevation of our original classic with added height and attitude.,"The Authentic Hi 2.0 builds on our legendary skate heritage, taking Vans' first-ever silhouette to new heights. This evolution features a sturdy canvas upper with our signature vulcanized build, adding a touch of ankle coverage while keeping the unmistakable grip of the original waffle outsole that skaters have trusted since 1966.","Heritage silhouette with high-top build Canvas upper for a durable and classic look Deconstructed (unpadded) paneling for a lighter, more flexible fit Cotton lace and metal eyelets Snug fit around the ankle for added support Signature waffle outsole pattern for reliable grip since '66 Vulcanized build for the original look and feel",$70.00,2 colors
Women's Encore Linerless Snowboard Boot,"Comfort, Simplified.",All-day comfort with hassle-free entry and exit from linerless technology.,"The Encore Linerless redefines simplicity and modern comfort. No other women's snowboard boot offers the combined convenience of a BOA® Fit System and the hassle-free entry and exit of linerless technology. Plus, an improved lightweight UltraCush™ internal cushioning construction and V1 PopCush™ Footbed provide all-day comfort. No matter where you go after first chair, linerless technology is an entirely different way of approaching your snowboard boots and your riding.","All-mountain boot optimized for versatility from parks to powder and everything in between Flex rating: 3-4 Skill level: beginner to intermediate Textile and synthetic upper Lightweight, linerless construction and slimmed-down upper for reduced size and weight V1 PopCush™ Footbeds use 3D anatomical shaping to offer the highest level of impact protection Footbed's nylex moisture-wicking top-sheet keeps you dry and comfortable Instep Flex Zone maintains natural ankle flexion in your boot, even strapped into your bindings PleasureCuff's supple elasticity delivers a cushioned, comfortable fit, keeping your calves supported Increased internal foam package for a soft, cushioned feel that lasts 'til last chair Heat Retention 360° uses a layer of 200g insulation over the toes so they stay warm during the coldest temps. With a liner material of neoprene and EVA, moisture is wicked away from the foot V1 Waffle Lug Outsole with All-Trac cold weather rubber compound delivers precise boardfeel and traction in all conditions BOA® Fit System provides a secure fit with on-the-fly micro-adjustability",$170.00,1 color
Soft-Top Sandal,,,"For all your beachy days and nights, the MTE Soft-Top Sandal is a classic flip-flop, but not the kind you're used to. The Vans® aesthetic stands out, with durable waffle-pattern blown rubber outsoles with grip and additional style details. But where this sandal becomes the pair you always reach for is in the UltraCush footbeds, made with PU memory foam and arch support to keep you moving long after the sun goes down.",Flip-flop sandal Synthetic strap with neoprene lining Webbing toe post construction for a comfortable fit Comfortable UltraCush footbeds with PU memory foam Anatomical arch for comfort and support Durable waffle pattern blown rubber outsoles Made with water-based inks and glues,$35.00,2 colors
Hi-Country Snowboard Boot,"Precise lines, in or out of bounds.",A resort and backcountry boot enhanced with a quick-drying liner and waterproof technology to keep you moving all day.,"The Hi-Country is designed to take your lines to the next level on the mountain and in the backcountry. The footbed offers our highest level of impact cushioning, while the Vans Flex Control System and PowerCuff Strap offers custom flex tuning and an outsole with multi-directional tread for confidence and all-terrain preparedness. A waterproof zipper shroud, D-ring gaiter hooks, one-way breathable valves, and the quick drying liner promise unmatched moisture management. The Hi-Country will not only take you where you want to go, but it’ll give you the tools to show up in style.","Backcountry and all-mountain boot with versatility taking you from parks to rails to steep, deep terrain Flex rating: 5-8 Skill level: intermediate to advanced Soft microsuede cuff and tongue V3 UltraCush™ The North Face FlashDry™ liner is enhanced with The North Face FlashDry materialization for moisture-wicking, quick dry capabilities Neoprene forefoot and an updated X-cage for superior heel hold V3 PopCush™ Footbed features a 3D molded anatomical shape, TPU arch support heel clip, an OrthoLite® top layer, and airflow perforations for breathability Waterproof Zipper Shroud + D Ring is a durable, weatherproof fabric shield blocks moisture out of your boot. It also features a metal D-ring for securely fastening your pant gaiters to lock out snow. Vans Flex Control System uses high-rebound Hytrel tongue stiffeners for boot flex adjustability. As your boots soften up over time, add the tongue stiffeners back in to extend the life of your boots. Waterproof, Breathable Valves ensure breathability and thermal regulation by transporting moisture away from your feet Asymmetrical Flex Zone allows your knees to flex in a more natural way with larger flex zones on the inside of the foot for precise control while carving Our V3 Harness offers our most advanced support to the ankle and instep, keeping the liner and boot shell locked in V3 Superenduro Waffle Outsole is inspired by moto endurance racing with a multi-directional tread design, surface-level texturing, and a TPU toe pick for added traction and snow tread",$370.00,1 color
Premium Style 17 Mule,Ultimate ease.,Comfort and convenience get a fashion-forward upgrade.,"The Premium Style 17 Mule hits the sweet spot between casual shoes and flip-flops. Pairing premium materials with an upgraded footbed, a Sola Foam ADC insole, and a grippy, lugged outsole for traction, this shoe is an outdoor shoe with full indoor ease.","Slip-On mule Waterproof suede upper for a durable, versatile shoe Low-profile back for easy on/off Soft lining ideal for wearing with or without socks Higher sidewall with gloss finish Foxing tape inspired by original 90's Osnaburg reinforced outsoles Upgraded footbed and refined construction combine for a more seamless fit Sola Foam ADC (All-Day Comfort) insole for soft and durable cushioning, it is made using at least 30% biobased PU foam partially derived from plants and it is USDA Certified Biobased Lugged outsole for added traction",$110.00,2 colors
Vans Pearl and Lace Shoe Charm Set,Feminine Frill.,Delicate details adorn your shoes with timeless elegance.,"Soft, vintage details come together with a romantic theme in this charm set. A pearl chain adds a touch of glamor and femininity, while white shoelaces soften any shoe. A bow crystal charm and gold heart charm top things off for a warm, shiny finish.","Shoe charm, chain and shoelace set 2 shoe charms with round gold clips and hardware 1 pearl chain 45"" long white lace shoelaces Includes: bow crystal charm, gold heart charm, chain, and shoelaces Contains small parts. Not intended for children under 12 years old.",$18.00,4 colors
